Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
3185.618,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,START
3186.368,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,STOP
3186.618,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,bite,,,START
3186.868,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,bite,,,STOP
3187.368,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3198.618,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3199.035,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3200.285,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3201.706,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3201.951,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,frontal,,,START
3202.367,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3203.285,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,frontal,,,STOP
